unique_id,text,PRINCIPLE_x,llm_query,PRINCIPLE_y,iteration
152," We need to work together to enable ambitious action, and I was proud to arrive here with agreement from my Government for Irel and to join the NDC Partnership.",general normative statement,"152  We need to work together to enable ambitious action, and I was proud to arrive here with agreement from my Government for Irel and to join the NDC Partnership.
",egalitarian,1
155,We must share our experiences along with ensuring developing countries are resourced to take the necessary actions.,sufficientarian,"155 We must share our experiences along with ensuring developing countries are resourced to take the necessary actions.
",prioritarian,1
172,   Addressing the warming of our planet requires a global effort and a commitment to change not seen in human history.,general normative statement,"172    Addressing the warming of our planet requires a global effort and a commitment to change not seen in human history.
",utilitarian,1
179,We must respond quickly to the best science available because denial will not help us to address climate change.,general normative statement,"179 We must respond quickly to the best science available because denial will not help us to address climate change.
",utilitarian,1
183,"   1 The Paris Agreement Work Programme should be robust, balanced and comprehensive but also flexible enough to allow every country to continuously raise its ambition and report on its implementation efforts.",libertarian,"183    1 The Paris Agreement Work Programme should be robust, balanced and comprehensive but also flexible enough to allow every country to continuously raise its ambition and report on its implementation efforts.
",egalitarian,1
191,Parties must strengthen their commitment by going above and beyond the 100 billion dollars pledged per year.,general normative statement,"191 Parties must strengthen their commitment by going above and beyond the 100 billion dollars pledged per year.
",utilitarian,1
192,This revised and increased level of climate finance by 2025 should be guided by a comprehensive needs assessment.,egalitarian,"192 This revised and increased level of climate finance by 2025 should be guided by a comprehensive needs assessment.
",utilitarian,1
225,Failure to provide this critical finance and that of loss and damage is measur ed in lives and livelihoods being lost in our communities.,general normative statement,"225 Failure to provide this critical finance and that of loss and damage is measur ed in lives and livelihoods being lost in our communities.
",prioritarian,1
226, It is immoral and unjust.,general normative statement,"226  It is immoral and unjust.
",general normative statement,1
233, Are we really going to leave Scotland without the resolve and ambition that is sorely needed to save lives and to save our planet?,utilitarian,"233  Are we really going to leave Scotland without the resolve and ambition that is sorely needed to save lives and to save our planet?
",utilitarian,1
239,Leaders must not fail those who elect them to lead.,general normative statement,"239 Leaders must not fail those who elect them to lead.
",general normative statement,1
243," An annual increase in SDRs of $500bn for 20 years put in a Trust to finance the transition is the REAL gap we need to close, not the $50bn being proposed FOR adaptation.",general normative statement,"243  An annual increase in SDRs of $500bn for 20 years put in a Trust to finance the transition is the REAL gap we need to close, not the $50bn being proposed FOR adaptation.
",general normative statement,1
251,Our people and our planet need it.,utilitarian,"251 Our people and our planet need it.
",utilitarian,1
270,"There is a critical need to leverage knowle dge-sharing and technology -transfer, including within the Paris Agreement.",egalitarian,"270 There is a critical need to leverage knowle dge-sharing and technology -transfer, including within the Paris Agreement.
",general normative statement,1
280,"In this regard, we require bold solutions, and development models that are fair, equitable, and sustainable.",egalitarian,"280 In this regard, we require bold solutions, and development models that are fair, equitable, and sustainable.
",egalitarian,1
287,"In order to attain our goals, we need everyone on board, governments, and even more our people and private sector.",egalitarian,"287 In order to attain our goals, we need everyone on board, governments, and even more our people and private sector.
",egalitarian,1
311, What we need now is a conduc ive environment to accelerate progress globally .,egalitarian,"311  What we need now is a conduc ive environment to accelerate progress globally .
",general normative statement,1
313, We will only reach these goals when innovations and good practices will be accessible to everyone.,egalitarian,"313  We will only reach these goals when innovations and good practices will be accessible to everyone.
",sufficientarian,1
315, In Europe we need to create the right incentives to support our economy in realizing this ambition.,libertarian,"315  In Europe we need to create the right incentives to support our economy in realizing this ambition.
",libertarian,1
325," Mr. President, Your Excellencies,  Ladies and Gentlemen,   We're only going to get this under control if we work together, And if our citizens engage in creating a more prosperous, more inclusive and healthier society.",egalitarian,"325  Mr. President, Your Excellencies,  Ladies and Gentlemen,   We're only going to get this under control if we work together, And if our citizens engage in creating a more prosperous, more inclusive and healthier society.
",egalitarian,1
