unique_id,text,RELEVANCE_x,llm_query,RELEVANCE_y,iteration
41,Loss and damage should also be included as an element in the new agreement.,Relevant,"41 Loss and damage should also be included as an element in the new agreement.
",Statement of intent,1
42,An ambitious and legally-binding climate change treaty in Paris is still possible.,Not relevant,"42 An ambitious and legally-binding climate change treaty in Paris is still possible.
",Statement of intent,1
43,We support an initial commitment period of five years under this agreement.,Not relevant,"43 We support an initial commitment period of five years under this agreement.
",Statement of intent,1
44,We also fully support inclusion of gender equality in the text of the new agreement.,Relevant,"44 We also fully support inclusion of gender equality in the text of the new agreement.
",Statement of intent,1
45,Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.,Relevant,"45 Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.
",Relevant,1
46,"Mr. President,Not only can we still attain an ambitious agreement, but we can also prevent some of the worst impacts of climate change in the near term, but only if we take fast and ambitious actions now, such as using the Montreal Protocol to reduce the powerful greenhouse gases HFCs.",Not relevant,"46 Mr. President,Not only can we still attain an ambitious agreement, but we can also prevent some of the worst impacts of climate change in the near term, but only if we take fast and ambitious actions now, such as using the Montreal Protocol to reduce the powerful greenhouse gases HFCs.
",Relevant,1
47,"Deep and immediate cuts in carbon dioxide emissions are paramount for long-term climate stabilization, but HFC emissions are hundreds to thousands more times powerful than CO2, and HFCs are the fastest growing greenhouse gases in many countries.",Not relevant,"47 Deep and immediate cuts in carbon dioxide emissions are paramount for long-term climate stabilization, but HFC emissions are hundreds to thousands more times powerful than CO2, and HFCs are the fastest growing greenhouse gases in many countries.
",Relevant,1
48,"For this reason, six years ago, Micronesia introduced a proposal to amend the Montreal Protocol to phase down the consumption and production of HFCs. We were guided by scientific and technical studies, and we were inspired by our prior experiences within the Montreal Protocol and our trust in its institutional and financial expertise.",Not relevant,"48 For this reason, six years ago, Micronesia introduced a proposal to amend the Montreal Protocol to phase down the consumption and production of HFCs. We were guided by scientific and technical studies, and we were inspired by our prior experiences within the Montreal Protocol and our trust in its institutional and financial expertise.
",Not relevant,1
49,"In the years since then, phasing down HFCs using the expertise and institutions of the Montreal Protocol has gained near-universal support.",Not relevant,"49 In the years since then, phasing down HFCs using the expertise and institutions of the Montreal Protocol has gained near-universal support.
",Not relevant,1
50,"Both the 2012 Rio+20 outcome document and the 2014 Samoa Pathway call for the phase down of the production and consumption of HFCs, and the Parties to the Montreal Protocol have decided to convene two HFC Management Workshops, the second of which will be held in Bangkok in April 2015.",Not relevant,"50 Both the 2012 Rio+20 outcome document and the 2014 Samoa Pathway call for the phase down of the production and consumption of HFCs, and the Parties to the Montreal Protocol have decided to convene two HFC Management Workshops, the second of which will be held in Bangkok in April 2015.
",Not relevant,1
51,"By agreeing to phase down HFCs under the Montreal Protocol next year, we could nearly eliminate one of the primary greenhouse gases and create critical momentum toward a successful outcome in Paris.",Not relevant,"51 By agreeing to phase down HFCs under the Montreal Protocol next year, we could nearly eliminate one of the primary greenhouse gases and create critical momentum toward a successful outcome in Paris.
",Relevant,1
52,We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.,Relevant,"52 We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.
",Relevant,1
53,COP21 starts now.,Not relevant,"53 COP21 starts now.
",Relevant,1
54,"Mr. President,As a final note, the UN Secretary-General shared with us the importance of the Paris agreement as one of the milestones in the post-2015 development process.",Not relevant,"54 Mr. President,As a final note, the UN Secretary-General shared with us the importance of the Paris agreement as one of the milestones in the post-2015 development process.
",Not relevant,1
55,We also note his plan for a high-level summit on climate change in June.,Not relevant,"55 We also note his plan for a high-level summit on climate change in June.
",Not relevant,1
56,"The sustainable development discussions are complementary and reinforcing, and can only help pave a smooth road to Paris.",Not relevant,"56 The sustainable development discussions are complementary and reinforcing, and can only help pave a smooth road to Paris.
",Not relevant,1
57,Thank you.,Not relevant,"57 Thank you.
",Not relevant,1
58,"Mr. President,Excellencies andDistinguished DelegatesAllow me to congratulate you Mr. President, on your assumption of the Presidency.",Not relevant,"58 Mr. President,Excellencies andDistinguished DelegatesAllow me to congratulate you Mr. President, on your assumption of the Presidency.
",Not relevant,1
59,"At the outset, I would like to express our deepest condolences on the recent tragic incidents in Paris and convey solidarity with the people and Government of France.",Not relevant,"59 At the outset, I would like to express our deepest condolences on the recent tragic incidents in Paris and convey solidarity with the people and Government of France.
",Not relevant,1
60,"Mr. President,I would like to draw your attention that climate change has been imposing additional stresses in the Least Developed Countries in general and the Small Mountainous Developing States in particular.",Not relevant,"60 Mr. President,I would like to draw your attention that climate change has been imposing additional stresses in the Least Developed Countries in general and the Small Mountainous Developing States in particular.
",Relevant,1
61,"The increased frequency and intensity of extreme weather events have been alarming both in the mountainous countries, and those countries in lower basins.",Not relevant,"61 The increased frequency and intensity of extreme weather events have been alarming both in the mountainous countries, and those countries in lower basins.
",Relevant,1
62,"Nepal has been witnessing in increasing temperature that has accelerated glacier melting in the Himalayas, including the Mount Everest Region.",Not relevant,"62 Nepal has been witnessing in increasing temperature that has accelerated glacier melting in the Himalayas, including the Mount Everest Region.
",Relevant,1
63,This has increased the risk of glacier lake out-burst floods threatening the lives and livelihoods of our people.,Not relevant,"63 This has increased the risk of glacier lake out-burst floods threatening the lives and livelihoods of our people.
",Relevant,1
64,"Climate change has been affecting our water availability, agricultural production, tourism and ecosystem services.",Not relevant,"64 Climate change has been affecting our water availability, agricultural production, tourism and ecosystem services.
",Relevant,1
65,"Due to the fragility of our mountain ecosystems, issues related to loss and damage is becoming more prominent.",Not relevant,"65 Due to the fragility of our mountain ecosystems, issues related to loss and damage is becoming more prominent.
",Relevant,1
66,"Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.",Relevant,"66 Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.
",Statement of intent,1
67,I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.,Relevant,"67 I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.
",Statement of intent,1
68,"Mr. President,Nepal has taken several policy and institutional measures to build our resilience and adaptive capacities.",Not relevant,"68 Mr. President,Nepal has taken several policy and institutional measures to build our resilience and adaptive capacities.
",Not relevant,1
69,"We are maintaining 40% of our land under forest cover with several Protected Areas, promoting renewable energy, introducing dedicated climate change budget code, declaring our capital as plastic bag free zone, promoting Bicycle ride and preparing a Low Carbon Economic Development Strategy.",Not relevant,"69 We are maintaining 40% of our land under forest cover with several Protected Areas, promoting renewable energy, introducing dedicated climate change budget code, declaring our capital as plastic bag free zone, promoting Bicycle ride and preparing a Low Carbon Economic Development Strategy.
",Not relevant,1
70,"However, our national efforts with limited resources and capacity alone is not sufficient to resolve the adverse impacts of climate change.",Not relevant,"70 However, our national efforts with limited resources and capacity alone is not sufficient to resolve the adverse impacts of climate change.
",Relevant,1
71,"Nepal contributes less than 0.1 percent of global green house gas emission, yet we suffer the most. ",Not relevant,"71 Nepal contributes less than 0.1 percent of global green house gas emission, yet we suffer the most. 
",Relevant,1
72,"Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.",Relevant,"72 Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.
",Relevant,1
73,"Mr. President,Last April, more than nine thousand people died of earthquake and around half a million families became homeless.",Not relevant,"73 Mr. President,Last April, more than nine thousand people died of earthquake and around half a million families became homeless.
",Not relevant,1
74,Additional challenges due to Climate Change have accelerated our economic and ecological vulnerability.,Not relevant,"74 Additional challenges due to Climate Change have accelerated our economic and ecological vulnerability.
",Relevant,1
75,"Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.",Relevant,"75 Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.
",Statement of intent,1
76,"Finally Mr. President,Let’s handover Mt. Everest to our grand-children at the same level of purity as Tenjing Norgay and Sir Edmund Hillary have seen in the history.",Not relevant,"76 Finally Mr. President,Let’s handover Mt. Everest to our grand-children at the same level of purity as Tenjing Norgay and Sir Edmund Hillary have seen in the history.
",Statement of intent,1
77,"As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.",Relevant,"77 As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.
",Relevant,1
78,Thank you very much.,Not relevant,"78 Thank you very much.
",Not relevant,1
79,"Excellencies , Distinguished Delegates, Ladies and Gentlemen,   It is a great pleasure to join you here in the beautiful city of Marrakesh.",Not relevant,"79 Excellencies , Distinguished Delegates, Ladies and Gentlemen,   It is a great pleasure to join you here in the beautiful city of Marrakesh.
",Not relevant,1
80,Your hospitality has been unparalleled .,Not relevant,"80 Your hospitality has been unparalleled .
",Not relevant,1
81,We are most grateful for all of the courtesies that have been extended to our delegation .,Not relevant,"81 We are most grateful for all of the courtesies that have been extended to our delegation .
",Not relevant,1
82,"Mr. President,  Each ye ar, Belizeans are reminded that climate change represents an existential threat for our people.",Not relevant,"82 Mr. President,  Each ye ar, Belizeans are reminded that climate change represents an existential threat for our people.
",Relevant,1
83,"In August 2016, Hurricane Earl made landfall in Belize causing damages in exces s of 5% of GDP.",Not relevant,"83 In August 2016, Hurricane Earl made landfall in Belize causing damages in exces s of 5% of GDP.
",Not relevant,1
84,"This, Mr. President, is the 14th extreme weather -related even t to affect Belize in the last 15 years, with some events causing losses equivalent of 25 -45% of GDP.",Not relevant,"84 This, Mr. President, is the 14th extreme weather -related even t to affect Belize in the last 15 years, with some events causing losses equivalent of 25 -45% of GDP.
",Not relevant,1
85,"For us climate change represents the greatest economic, social and environme ntal threat to our country .",Not relevant,"85 For us climate change represents the greatest economic, social and environme ntal threat to our country .
",Relevant,1
86,"The adverse effects of climate change have direct implications on the future state of the country , the achievement of our sustainable development goals , and thus the ability of Belizean s to improve the quality of their lives .",Not relevant,"86 The adverse effects of climate change have direct implications on the future state of the country , the achievement of our sustainable development goals , and thus the ability of Belizean s to improve the quality of their lives .
",Relevant,1
87,"As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .",Relevant,"87 As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .
",Statement of intent,1
88,"This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .",Relevant,"88 This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .
",Statement of intent,1
89,"  Mr. President Despite these constant and escalating shocks to our development, Belize continues to pursue practical and ambitious actions under the Convention .",Statement of intent,"89   Mr. President Despite these constant and escalating shocks to our development, Belize continues to pursue practical and ambitious actions under the Convention .
",Relevant,1
90,"Our Growth and Sustainable Devel opment Strategy (GSDS) bring s cohesiveness and synergies across our economic, social , environmental , and institutional policies .",Not relevant,"90 Our Growth and Sustainable Devel opment Strategy (GSDS) bring s cohesiveness and synergies across our economic, social , environmental , and institutional policies .
",Not relevant,1
91,"The GSDS aims to achieve sustainable development through poverty eradication , better stewardship of our natural resources, and improved resilience in the face of a volatile global economy and a changing global climate.",Not relevant,"91 The GSDS aims to achieve sustainable development through poverty eradication , better stewardship of our natural resources, and improved resilience in the face of a volatile global economy and a changing global climate.
",Relevant,1
92,"In 2015, Belize adopted its first comprehensive National Climate Change Policy, Strategy and Action Plan that identifies priority actions for each economic sector .",Not relevant,"92 In 2015, Belize adopted its first comprehensive National Climate Change Policy, Strategy and Action Plan that identifies priority actions for each economic sector .
",Not relevant,1
93,"It seeks to build governance capacity , improve resilience, and enhance adaptation capabilities to cope with climate change impacts .",Not relevant,"93 It seeks to build governance capacity , improve resilience, and enhance adaptation capabilities to cope with climate change impacts .
",Statement of intent,1
94," Mr. President Belize , notwithstanding our negligible emissions factor , is committed to the more ambitious target under the Paris Agreement to limit the increase in global temperature to 1.5 degrees Celsius above pre-industrial levels.",Statement of intent,"94  Mr. President Belize , notwithstanding our negligible emissions factor , is committed to the more ambitious target under the Paris Agreement to limit the increase in global temperature to 1.5 degrees Celsius above pre-industrial levels.
",Relevant,1
95,This requires global commitment and action.,Relevant,"95 This requires global commitment and action.
",Statement of intent,1
96,"All countries, including the Republic of China on Taiwan, must be allowed to contribute their experience and technologies to meet this ambition.",Relevant,"96 All countries, including the Republic of China on Taiwan, must be allowed to contribute their experience and technologies to meet this ambition.
",Relevant,1
97,"Consequently , Belize has set bold, national targets through its National ly Determined Contributions that will allow us to transition strategically to a low carbon development pathway, while strengthening our resilience.",Not relevant,"97 Consequently , Belize has set bold, national targets through its National ly Determined Contributions that will allow us to transition strategically to a low carbon development pathway, while strengthening our resilience.
",Relevant,1
98," By 2033, for example, Belize is committed to expand its share of renewable energy in the electricity sector from 60% to 89%.",Statement of intent,"98  By 2033, for example, Belize is committed to expand its share of renewable energy in the electricity sector from 60% to 89%.
",Statement of intent,1
99,We are also committed to reducing conventional transportation fuel by at least 20% through appropriate policies and investments .,Statement of intent,"99 We are also committed to reducing conventional transportation fuel by at least 20% through appropriate policies and investments .
",Statement of intent,1
100,"Belize also aims to achieve significant emission reductions through sustainable forest management , which will reduce deforestation and land degradation , protect watersheds and increase the resilience of forest communities to climate change.",Statement of intent,"100 Belize also aims to achieve significant emission reductions through sustainable forest management , which will reduce deforestation and land degradation , protect watersheds and increase the resilience of forest communities to climate change.
",Relevant,1
101,We will soon approach the Green Climate Fund for funding to conduct our National Adaptation Planning (NAP) process.,Statement of intent,"101 We will soon approach the Green Climate Fund for funding to conduct our National Adaptation Planning (NAP) process.
",Statement of intent,1
102,Our National Communication Strategy for Climate Change will foster greater public awareness and the engagement of all stakeholders .,Statement of intent,"102 Our National Communication Strategy for Climate Change will foster greater public awareness and the engagement of all stakeholders .
",Statement of intent,1
103,"Mr. President, Predictable finance, balanced between mitigation and adaptation, capacity building and transfer of technology are crucial for the full and effective implementation of the Paris Agreement.",Relevant,"103 Mr. President, Predictable finance, balanced between mitigation and adaptation, capacity building and transfer of technology are crucial for the full and effective implementation of the Paris Agreement.
",Relevant,1
104,We thank the developed countries for the early release of the road map to achieve USD 100 billion per annum by 2020 .,Not relevant,"104 We thank the developed countries for the early release of the road map to achieve USD 100 billion per annum by 2020 .
",Not relevant,1
105,"Note, however, that this pledge is but a drop in the bucket of the estimated trillions needed to meet the 1.5 degree temperature goal .",Statement of intent,"105 Note, however, that this pledge is but a drop in the bucket of the estimated trillions needed to meet the 1.5 degree temperature goal .
",Relevant,1
106,"We seek your continued engagement to further enhance the roadmap and scale up of finances so as to increase predictability, foster confidence , and ensure that the adaptation needs of SIDs are adequately addressed. ",Relevant,"106 We seek your continued engagement to further enhance the roadmap and scale up of finances so as to increase predictability, foster confidence , and ensure that the adaptation needs of SIDs are adequately addressed. 
",Relevant,1
107,"Furthermore, where adaptation is not an option, countries must have support for irreparable loss and damage .",Relevant,"107 Furthermore, where adaptation is not an option, countries must have support for irreparable loss and damage .
",Relevant,1
108,"Mr. President The Paris Agreement , and its entry into force , generates renewed trust and confidence in the multilateral negotiating process for addressing climate change.",Not relevant,"108 Mr. President The Paris Agreement , and its entry into force , generates renewed trust and confidence in the multilateral negotiating process for addressing climate change.
",Relevant,1
109,"There are three key actions that we can and must take in Marrakech: we must operat ionalize the Paris Committee on Capacity building;  we must operationalize the Capacity Building Initiative for Transparency; and we must provide guidance to the GCF to finalize the simplified approval procedures without delay so as to enhance access for th e most vulnerable with prioritization to public and grant based support, especially for adaptation.",Relevant,"109 There are three key actions that we can and must take in Marrakech: we must operat ionalize the Paris Committee on Capacity building;  we must operationalize the Capacity Building Initiative for Transparency; and we must provide guidance to the GCF to finalize the simplified approval procedures without delay so as to enhance access for th e most vulnerable with prioritization to public and grant based support, especially for adaptation.
",Relevant,1
110," These outcomes, if achieved, Mr. President, will make COP22 an Action COP.",Not relevant,"110  These outcomes, if achieved, Mr. President, will make COP22 an Action COP.
",Statement of intent,1
111, COP 22 in Marrakech must deliver .,Statement of intent,"111  COP 22 in Marrakech must deliver .
",Statement of intent,1
112,We must set the pace for implementing the Paris Agreement.,Statement of intent,"112 We must set the pace for implementing the Paris Agreement.
",Statement of intent,1
113,"We must establish the accounting guidelines, develop a compliance mechanism, begin to build a robust transparency framework , and global stock -take process with a view to completing our work as early as 2017.",Statement of intent,"113 We must establish the accounting guidelines, develop a compliance mechanism, begin to build a robust transparency framework , and global stock -take process with a view to completing our work as early as 2017.
",Statement of intent,1
114," Mr. President, to echo your ca ll for climate action, let us leave Marrakech with the confidence that we have shifted from 'promise and commitment to one of action and achievements .' I thank you, Mr. President.",Statement of intent,"114  Mr. President, to echo your ca ll for climate action, let us leave Marrakech with the confidence that we have shifted from 'promise and commitment to one of action and achievements .' I thank you, Mr. President.
",Relevant,1
115,"'The Paris Agreement is about action by all, the great and the small'  Thank you, Mr. President.",Relevant,"115 'The Paris Agreement is about action by all, the great and the small'  Thank you, Mr. President.
",Not relevant,1
116, Ireland supports the statements made on behalf of the EU and its Member States.,Not relevant,"116  Ireland supports the statements made on behalf of the EU and its Member States.
",Not relevant,1
117," I would firstly like to thank and congratulate our Fijian COP Presidenc y for their warm welcome and their excellent management of this COP, and for their preparations over the course of 2017.",Not relevant,"117  I would firstly like to thank and congratulate our Fijian COP Presidenc y for their warm welcome and their excellent management of this COP, and for their preparations over the course of 2017.
",Not relevant,1
118,  We arrived here with a challenging programme of work and I think we can be very proud of where we have taken it.,Not relevant,"118   We arrived here with a challenging programme of work and I think we can be very proud of where we have taken it.
",Not relevant,1
119,I would also like t o thank our German hosts of this COP.,Not relevant,"119 I would also like t o thank our German hosts of this COP.
",Not relevant,1
