unique_id,text,PRINCIPLE_x,llm_query,PRINCIPLE_y,iteration
138,"Apart from that, we requestdeveloped country parties to reduce their emissions by at least 45% below 1990 levelsin 2020 and 80-95% by 2050.",general normative statement,"138 Apart from that, we requestdeveloped country parties to reduce their emissions by at least 45% below 1990 levelsin 2020 and 80-95% by 2050.
",egalitarian,1
139,"In addition, major developing countries must also reducetheir emissions through National Appropriate Mitigation Actions (NAMAs) and other formof mitigation actions.",general normative statement,"139 In addition, major developing countries must also reducetheir emissions through National Appropriate Mitigation Actions (NAMAs) and other formof mitigation actions.
",egalitarian,1
140,"Our future generation will proud of us, if we are willing to stop their furure through a consensus and right decision we made here, in Warsaw.",utilitarian,"140 Our future generation will proud of us, if we are willing to stop their furure through a consensus and right decision we made here, in Warsaw.
",utilitarian,1
142,"As Pope Francis said in his Message to ourConference, the issues we are debating “affects all humanity, especially the poor andfuture gencrations: [...] it is a serious ethical and moral responsibility [...] ‘There is aclear, definite and urgent cthical imperative to act |...) We can only find adequatesolutions if we act together”.",utilitarian,"142 As Pope Francis said in his Message to ourConference, the issues we are debating “affects all humanity, especially the poor andfuture gencrations: [...] it is a serious ethical and moral responsibility [...] ‘There is aclear, definite and urgent cthical imperative to act |...) We can only find adequatesolutions if we act together”.
",utilitarian,1
143,"The longer we wait, the more it will cost; more victims will suffer from our inaction andthe greatest weight will fall on the most vuinerable, the poorest peoples and futuregenerations: what is at issuc here is respect for their fundamental human rights.",sufficientarian,"143 The longer we wait, the more it will cost; more victims will suffer from our inaction andthe greatest weight will fall on the most vuinerable, the poorest peoples and futuregenerations: what is at issuc here is respect for their fundamental human rights.
",sufficientarian,1
148,"The Holy See’s Delegation has repeatedly called for a clear and firm political will toagree on tangible and concrete action, and has urged the adoption of common bindingmeasures and adequate budgcts for cffective and sustainable action on mitigation andadaptation, as well as on sharing technologies and know-how.",egalitarian,"148 The Holy See’s Delegation has repeatedly called for a clear and firm political will toagree on tangible and concrete action, and has urged the adoption of common bindingmeasures and adequate budgcts for cffective and sustainable action on mitigation andadaptation, as well as on sharing technologies and know-how.
",utilitarian,1
156,"There is no room for the globalization of indifference, the economy of exclusion or the throwaway culture so foten denounced by Pope Francis.",egalitarian,"156 There is no room for the globalization of indifference, the economy of exclusion or the throwaway culture so foten denounced by Pope Francis.
",general normative statement,1
157,"Pope Francis warns that “the effective fight against global warming is only possiblethrough a responsible collective response, that overcomes particular interests andbehaviors and develops itself free from political and economic pressures.",utilitarian,"157 Pope Francis warns that “the effective fight against global warming is only possiblethrough a responsible collective response, that overcomes particular interests andbehaviors and develops itself free from political and economic pressures.
",utilitarian,1
158,"A collectiveresponse that is also capable of contrasting attitudes of distrust and promote a culture ofsolidarity, encounter and dialogue; able to act responsibility to protect the planct and thehuman family”, ensuring that present and future generations have the possibility of livingin a safe and worthy environment.",utilitarian,"158 A collectiveresponse that is also capable of contrasting attitudes of distrust and promote a culture ofsolidarity, encounter and dialogue; able to act responsibility to protect the planct and thehuman family”, ensuring that present and future generations have the possibility of livingin a safe and worthy environment.
",utilitarian,1
160,"Justice, respect and equity are at the basis of this culture.",egalitarian,"160 Justice, respect and equity are at the basis of this culture.
",egalitarian,1
161,"If we remain inactive in addressing climate change, even before drafling a newagreement, we already violate equity, one of the core principles of the Convention.",egalitarian,"161 If we remain inactive in addressing climate change, even before drafling a newagreement, we already violate equity, one of the core principles of the Convention.
",egalitarian,1
165,Let us work together forthe common good rather than point at each other and pass responsibility to others.,utilitarian,"165 Let us work together forthe common good rather than point at each other and pass responsibility to others.
",utilitarian,1
166,"Thisrequires the full, responsible and dedicated collaboration of all, according to theirpossibilities and circumstances.",egalitarian,"166 Thisrequires the full, responsible and dedicated collaboration of all, according to theirpossibilities and circumstances.
",egalitarian,1
168,"We must also consider the centralfactor of education: education aimed at fostering a sense of responsibility in children andadults towards environmentally sound patterns of development, the stewardship ofcreation, and solidarity among people.",general normative statement,"168 We must also consider the centralfactor of education: education aimed at fostering a sense of responsibility in children andadults towards environmentally sound patterns of development, the stewardship ofcreation, and solidarity among people.
",utilitarian,1
169,‘lhe current lifestyle with its throwaway culture isunsustainable and should have no place in our lives.,general normative statement,"169 ‘lhe current lifestyle with its throwaway culture isunsustainable and should have no place in our lives.
",general normative statement,1
173,"The Holy Sce hopes that everyone will join in adopting an ambitious holistic approach Loensure the integral development of all persons, countries and creation itself.",utilitarian,"173 The Holy Sce hopes that everyone will join in adopting an ambitious holistic approach Loensure the integral development of all persons, countries and creation itself.
",utilitarian,1
178, Climate change poses a serious global challenge as evidenced b y science and therefore requires an urgent and immediate action by all .,utilitarian,"178  Climate change poses a serious global challenge as evidenced b y science and therefore requires an urgent and immediate action by all .
",utilitarian,1
181," COP 20/CMP 10 present an opportunity for us to make bold and comprehensive decision s for a safe r Planet, its people and their livelihoods.",utilitarian,"181  COP 20/CMP 10 present an opportunity for us to make bold and comprehensive decision s for a safe r Planet, its people and their livelihoods.
",utilitarian,1
184,"The Agreement must address all the elements of mitigation, adaptation, finance, technology, capacity -building, transparency of action, and support in a comprehensive and balanced manner without om itting the aspects of loss and damage .",general normative statement,"184 The Agreement must address all the elements of mitigation, adaptation, finance, technology, capacity -building, transparency of action, and support in a comprehensive and balanced manner without om itting the aspects of loss and damage .
",general normative statement,1
186,The INDCs must reflect the efforts Parties are willing to contribute towards the enhanced implementation of their obligations under the convention as enshrined in its Article 4.,egalitarian,"186 The INDCs must reflect the efforts Parties are willing to contribute towards the enhanced implementation of their obligations under the convention as enshrined in its Article 4.
",general normative statement,1
187, Enhancing the pre -2020 ambition is critical to keep us on track to a below two degree temperature rise ; and to help build necessary trust and confidence for a meaningful 2015 Agreement.,utilitarian,"187  Enhancing the pre -2020 ambition is critical to keep us on track to a below two degree temperature rise ; and to help build necessary trust and confidence for a meaningful 2015 Agreement.
",utilitarian,1
188,"Developed countries should take the lead in increasing their mitigation ambition, and providing enhanced support for developing countries to incre ase their ambition.",prioritarian,"188 Developed countries should take the lead in increasing their mitigation ambition, and providing enhanced support for developing countries to incre ase their ambition.
",prioritarian,1
192," I also welcome , and indeed recognise pledges by some developed countr y-Part ies to the Green Climate Fund and urge for more accelerated action to ensure its full capitalization .",prioritarian,"192  I also welcome , and indeed recognise pledges by some developed countr y-Part ies to the Green Climate Fund and urge for more accelerated action to ensure its full capitalization .
",prioritarian,1
197," Lastly distinguished Ladies and Gentlemen, A m eaningful outcome from this conference is critical in enhancingthe multilateral rules based regime under the UNFCCC .",egalitarian,"197  Lastly distinguished Ladies and Gentlemen, A m eaningful outcome from this conference is critical in enhancingthe multilateral rules based regime under the UNFCCC .
",general normative statement,1
204, We need to build on this momentum and answer these calls by taking action.,general normative statement,"204  We need to build on this momentum and answer these calls by taking action.
",utilitarian,1
211," [Global agreement ]  But actions by a partial number of countries will not be sufficient to address climate change , and coordinated international response is essenti al.",egalitarian,"211  [Global agreement ]  But actions by a partial number of countries will not be sufficient to address climate change , and coordinated international response is essenti al.
",utilitarian,1
212," This is why we need to build a meaningful, durable, and truly global agreement which will inspire actions on the ground.",general normative statement,"212  This is why we need to build a meaningful, durable, and truly global agreement which will inspire actions on the ground.
",utilitarian,1
217,"  First, our conversation on the new agreement should leave no one behind .",sufficientarian,"217   First, our conversation on the new agreement should leave no one behind .
",sufficientarian,1
220,"  Second, the agreement should be relevant to all .",egalitarian,"220   Second, the agreement should be relevant to all .
",egalitarian,1
223,"  Last but not least, t he agreement should also lay solid foundation for transparency and accountability with a clear set of rules .",general normative statement,"223   Last but not least, t he agreement should also lay solid foundation for transparency and accountability with a clear set of rules .
",general normative statement,1
226, Let us REBUILD confidence in international response to climate change ; RENEW our commitments to take action; and  REVITALIZE hope for our common future.,utilitarian,"226  Let us REBUILD confidence in international response to climate change ; RENEW our commitments to take action; and  REVITALIZE hope for our common future.
",general normative statement,1
243,"With only 0.01 % of global emissions produced by the Pacific as a region, Tonga  understands that we co -exist in a Global Commons, and that as a global family we  must foster global partnerships as a measure to catalyze global ambitions.",utilitarian,"243 With only 0.01 % of global emissions produced by the Pacific as a region, Tonga  understands that we co -exist in a Global Commons, and that as a global family we  must foster global partnerships as a measure to catalyze global ambitions.
",egalitarian,1
244,"Yet, in light of our limited human resources, and economic capacity, we as one of the worlds most vulnerable countries, have no alternative but to leave no stone unturned, or leave anything to chance, and spare no expense , because no monetary value can be ascribed to ‘one’s ri ght to exist’.",sufficientarian,"244 Yet, in light of our limited human resources, and economic capacity, we as one of the worlds most vulnerable countries, have no alternative but to leave no stone unturned, or leave anything to chance, and spare no expense , because no monetary value can be ascribed to ‘one’s ri ght to exist’.
",sufficientarian,1
245,"It is in this context , that the Government and the people of the Kingdom of Tonga urge world leaders to revise their development strategies by taking up the challenge of adopting and reverting to more sustainable means for develop ment, which is key to ensuring a sustainable and cleaner future for all.",utilitarian,"245 It is in this context , that the Government and the people of the Kingdom of Tonga urge world leaders to revise their development strategies by taking up the challenge of adopting and reverting to more sustainable means for develop ment, which is key to ensuring a sustainable and cleaner future for all.
",utilitarian,1
247,"Chair, al low me to call on world leaders to seek solutions that focus on  accelerating actions and increasing ambition and to also take concrete action  nationally and in doing so we may discontinue existing in this ‘Tragedy of t he  Commons’  16.",utilitarian,"247 Chair, al low me to call on world leaders to seek solutions that focus on  accelerating actions and increasing ambition and to also take concrete action  nationally and in doing so we may discontinue existing in this ‘Tragedy of t he  Commons’  16.
",utilitarian,1
260,"We must all work collectively, with a sense of urgency and purpose, to address these challenges a nd to support all island countries to become more resilient.",prioritarian,"260 We must all work collectively, with a sense of urgency and purpose, to address these challenges a nd to support all island countries to become more resilient.
",utilitarian,1
268,"The guidance to the financing mechanisms should call for flexibility for SIDS and allow for replication of best practices, and should be commensurate to needs in the region.",prioritarian,"268 The guidance to the financing mechanisms should call for flexibility for SIDS and allow for replication of best practices, and should be commensurate to needs in the region.
",prioritarian,1
278,We call on devel opment partners to accelerate technical and financial support to the Pacific Island countries to enable us to develop our INDCs and translate our ambitious aspirations into actions.,prioritarian,"278 We call on devel opment partners to accelerate technical and financial support to the Pacific Island countries to enable us to develop our INDCs and translate our ambitious aspirations into actions.
",prioritarian,1
281,"At the same time the Adaptation Fund is an important funding mechanism to our region, and we call for continued support, including the 80 million dollars that has been requested to ensur e that the AF remains operational.",prioritarian,"281 At the same time the Adaptation Fund is an important funding mechanism to our region, and we call for continued support, including the 80 million dollars that has been requested to ensur e that the AF remains operational.
",prioritarian,1
290,This is a grave responsibility and we must act with the urgency it demands.,prioritarian,"290 This is a grave responsibility and we must act with the urgency it demands.
",general normative statement,1
293,It is imperative that the work ahead places clear focus and priority on particularly vulnerable developing countries supported by partners as it is set out in Article 4 of the Convention.,prioritarian,"293 It is imperative that the work ahead places clear focus and priority on particularly vulnerable developing countries supported by partners as it is set out in Article 4 of the Convention.
",prioritarian,1
296,"Pacific island countries, therefore, view as mandatory that the long -term global temperature rise does not exceed 1.5 degrees Celsius and that mitigation ambition accurately reflects the long -term global goal.",utilitarian,"296 Pacific island countries, therefore, view as mandatory that the long -term global temperature rise does not exceed 1.5 degrees Celsius and that mitigation ambition accurately reflects the long -term global goal.
",sufficientarian,1
297,This is crucial for the survival today of particularly vulnerable countries and for all countries tomorrow.,prioritarian,"297 This is crucial for the survival today of particularly vulnerable countries and for all countries tomorrow.
",sufficientarian,1
299,"It is essential that resource mobilization, support and building the capacity at the national and regional levels to address the issues related to loss and damage continues by establishing a financial facility to complement the work of the Executive Committee as it implements its work plan.",prioritarian,"299 It is essential that resource mobilization, support and building the capacity at the national and regional levels to address the issues related to loss and damage continues by establishing a financial facility to complement the work of the Executive Committee as it implements its work plan.
",prioritarian,1
315,"We therefore call for action by the COP to e nsure that this review is completed in a timely manner so that it can inform parties in making their INDCs, and in informing our decision making in Paris.",general normative statement,"315 We therefore call for action by the COP to e nsure that this review is completed in a timely manner so that it can inform parties in making their INDCs, and in informing our decision making in Paris.
",general normative statement,1
319,We would urge development partners to support SIDS in improving their observation networks and establish new monitoring stations.,prioritarian,"319 We would urge development partners to support SIDS in improving their observation networks and establish new monitoring stations.
",prioritarian,1
320,"In this regard, the work of WMO on GFCS is welcomed, and again we call for development partners to utilize this framework to assist SIDS with enhancing their observation systems, including for ocean acidification.",prioritarian,"320 In this regard, the work of WMO on GFCS is welcomed, and again we call for development partners to utilize this framework to assist SIDS with enhancing their observation systems, including for ocean acidification.
",prioritarian,1
321,We request that the development partners heed our call for greate r financial and technical resources to be provided in particular to SIDS regions.,prioritarian,"321 We request that the development partners heed our call for greate r financial and technical resources to be provided in particular to SIDS regions.
",prioritarian,1
328,Climate Change and Intern ational Terrorism are two extremely serious issues which threatens Humanity and which must be dealt with all possible means at our collective disposal.,utilitarian,"328 Climate Change and Intern ational Terrorism are two extremely serious issues which threatens Humanity and which must be dealt with all possible means at our collective disposal.
",utilitarian,1
332," It is therefore, of utmost importance that we reach out toward all the countries attending this historic and august gathering to agree on a legally-binding mechanism in order to save our planet from further damage caused by Climate Change.",utilitarian,"332  It is therefore, of utmost importance that we reach out toward all the countries attending this historic and august gathering to agree on a legally-binding mechanism in order to save our planet from further damage caused by Climate Change.
",utilitarian,1
334,"Let us seize this historic opportunity which presents itself before us in these fina l and most critical days of the High -Level Segment to reach a proper, meaningful, and realistic and an equitable agreement for Humanity, for the present as well as, for the future generations and for every living life form on Earth.",utilitarian,"334 Let us seize this historic opportunity which presents itself before us in these fina l and most critical days of the High -Level Segment to reach a proper, meaningful, and realistic and an equitable agreement for Humanity, for the present as well as, for the future generations and for every living life form on Earth.
",utilitarian,1
335, I am sure that you all agree with me that we must collectively and responsibly act for t he welfare of our common Planet - Terra – a tiny beautiful little blue dot on the Celestial Map of our Solar System which supports Life as we know it.,utilitarian,"335  I am sure that you all agree with me that we must collectively and responsibly act for t he welfare of our common Planet - Terra – a tiny beautiful little blue dot on the Celestial Map of our Solar System which supports Life as we know it.
",utilitarian,1
337,"Therefore, let us be bold and take that step for Humanity and for Life itself! ",utilitarian,"337 Therefore, let us be bold and take that step for Humanity and for Life itself! 
",utilitarian,1
343,"In that regard, we expect further and stronger support fromthe European Union, whose efforts we fully support in thenegotiation process.",prioritarian,"343 In that regard, we expect further and stronger support fromthe European Union, whose efforts we fully support in thenegotiation process.
",general normative statement,1
348,"We have come to Paris convinced that, on the basis of compromise and consensus, a fair agreement will be reached,which should be effective, binding to all countries, with aclearly highlighted common and shared responsibility toreduce emissions of greenhouse gases, but also with aprecisely defined relation between developed and lessdeveloped countries.",egalitarian,"348 We have come to Paris convinced that, on the basis of compromise and consensus, a fair agreement will be reached,which should be effective, binding to all countries, with aclearly highlighted common and shared responsibility toreduce emissions of greenhouse gases, but also with aprecisely defined relation between developed and lessdeveloped countries.
",egalitarian,1
358,We owe this to the outside world: our citizens and our children.,utilitarian,"358 We owe this to the outside world: our citizens and our children.
",utilitarian,1
359,"To succeed, we need every country doing its very best and the worldmoving together in the same direction.",egalitarian,"359 To succeed, we need every country doing its very best and the worldmoving together in the same direction.
",egalitarian,1
361,"For the European Union, the credibility of the deal will depend onour collective ambition.",utilitarian,"361 For the European Union, the credibility of the deal will depend onour collective ambition.
",egalitarian,1
369,"Beyond emissions reductions, this agreement must help countries,especially those most vulnerable, adapt to climate change impacts.",prioritarian,"369 Beyond emissions reductions, this agreement must help countries,especially those most vulnerable, adapt to climate change impacts.
",prioritarian,1
371,Our message to the most vulnerable countries is very clear: you cancount on the European Union.,prioritarian,"371 Our message to the most vulnerable countries is very clear: you cancount on the European Union.
",prioritarian,1
373,"Together, we must conclude a balanced agreement that will help usreduce emissions while helping the most vulnerable to adapt to theexisting climate impacts.",prioritarian,"373 Together, we must conclude a balanced agreement that will help usreduce emissions while helping the most vulnerable to adapt to theexisting climate impacts.
",prioritarian,1
390,  The Paris agreement must ensure that the needs of the most vulnerable are fully acknowledged and addressed.,prioritarian,"390   The Paris agreement must ensure that the needs of the most vulnerable are fully acknowledged and addressed.
",prioritarian,1
391,"It must carry forward the spirit of the new global sustainable development agenda, agreed in September this year by our le aders , and ensure that no one is left behind.",sufficientarian,"391 It must carry forward the spirit of the new global sustainable development agenda, agreed in September this year by our le aders , and ensure that no one is left behind.
",sufficientarian,1
394," There must be a common framework for regular reporting a nd tracking so that we know where we are headed; in addition to processes for reviewing and enhancing commitments, as well as for ensuring accountability and compliance.",general normative statement,"394  There must be a common framework for regular reporting a nd tracking so that we know where we are headed; in addition to processes for reviewing and enhancing commitments, as well as for ensuring accountability and compliance.
",general normative statement,1
395,These basic elements must be supported by climate finance to support adaptation effort s in developing countries and unlock their mitigation potential through the transfer of green technologies and capacity building support.,prioritarian,"395 These basic elements must be supported by climate finance to support adaptation effort s in developing countries and unlock their mitigation potential through the transfer of green technologies and capacity building support.
",prioritarian,1
408,It is for these reasons that a critical element of the Paris agreement must be the establishment of arrangements to address loss and damage.,prioritarian,"408 It is for these reasons that a critical element of the Paris agreement must be the establishment of arrangements to address loss and damage.
",prioritarian,1
414,We must not miss this opportunity to secure the survival of future generations of humankind.,utilitarian,"414 We must not miss this opportunity to secure the survival of future generations of humankind.
",utilitarian,1
437,We must focus on effective implementation of the Paris Agreement and make every effort to set a path to guide us to our low carbon future which will be sustainable and safe not only for us but also for future generations.,utilitarian,"437 We must focus on effective implementation of the Paris Agreement and make every effort to set a path to guide us to our low carbon future which will be sustainable and safe not only for us but also for future generations.
",utilitarian,1
464,"Ladies and Gentlemen,  Side by side with our commitment to mitigation, we recognize our responsibility to contribute to the second major component of the Paris Agreement – supporting developing countries that are struggling with the adverse effects of climate change .",prioritarian,"464 Ladies and Gentlemen,  Side by side with our commitment to mitigation, we recognize our responsibility to contribute to the second major component of the Paris Agreement – supporting developing countries that are struggling with the adverse effects of climate change .
",prioritarian,1
491,Let us ensure that the environmental issue is what unifies us because without this cooperation we will not be successful in dealing with the mission we all face .,utilitarian,"491 Let us ensure that the environmental issue is what unifies us because without this cooperation we will not be successful in dealing with the mission we all face .
",egalitarian,1
499,We believe that any further delay in taking strong action to tackle climate change will only lead to greater adverse impacts on our people and planet .,utilitarian,"499 We believe that any further delay in taking strong action to tackle climate change will only lead to greater adverse impacts on our people and planet .
",utilitarian,1
517,"We need enhance d actions and a mbitions, on both mitigation and adaptation, as well as support.",general normative statement,"517 We need enhance d actions and a mbitions, on both mitigation and adaptation, as well as support.
",general normative statement,1
520,Developed countries must support our endeavors .,prioritarian,"520 Developed countries must support our endeavors .
",prioritarian,1
522,"First, the delicate balance achieved in Paris must be preserved.",egalitarian,"522 First, the delicate balance achieved in Paris must be preserved.
",general normative statement,1
524,"We must reaffirm the provisions and principles of the Convention , in particular , equity and common but differentiated responsibilities and respective capabilities as reflected in the Paris Agreement .",egalitarian,"524 We must reaffirm the provisions and principles of the Convention , in particular , equity and common but differentiated responsibilities and respective capabilities as reflected in the Paris Agreement .
",egalitarian,1
526,"Third , capacity -building support for climate action is critical for developing countries and should be based on and responsive to national needs, foster countr y ownership, participatory, and cross -cutting.",egalitarian,"526 Third , capacity -building support for climate action is critical for developing countries and should be based on and responsive to national needs, foster countr y ownership, participatory, and cross -cutting.
",prioritarian,1
527,"Fourth , developing countries require additional, adequate, predictable and sustainable climate financing to transform our economies to climate resilience and low greenhouse gas emissions.",prioritarian,"527 Fourth , developing countries require additional, adequate, predictable and sustainable climate financing to transform our economies to climate resilience and low greenhouse gas emissions.
",prioritarian,1
529,"  We reiterate our call for developed country Parties to enhance ambition on the provisi on and mobilization of support , and to achieve a balance between adaptation and mitigation finance , including by setting a target to quadruple resources allocated to adaptation from public and grant -based sources by 2020 .",prioritarian,"529   We reiterate our call for developed country Parties to enhance ambition on the provisi on and mobilization of support , and to achieve a balance between adaptation and mitigation finance , including by setting a target to quadruple resources allocated to adaptation from public and grant -based sources by 2020 .
",prioritarian,1
